,index,address,animal,building_floor,d_to_bank,d_to_coffe,d_to_conv,d_to_metro,elevator,id,loc,metro_count,parking,price,room_floor,room_options,room_size,room_type,aircondition,laundry,bed,desk,closet,tv,shoes,refrigerator,gas,induction,microwave,doar_lock,biddet,d_to_fancy,park,distance_gn,distance_md,d_to_mac,star_bucks,population,elder,elder_ratio,totalbanks,bank_ratio
836,905,서울특별시 마포구 노고산동,False,15,123.0,144.0,88.0,378.0,True,5716d9a7973e397ca0786563,"[126.942122515, 37.5562648798]",22.0,True,11200.0,5,"[0, 1, 4, 6, 7, 8, 11, 3]",33.0,오피스텔,1,1,0,1,1,0,1,1,1,0,0,1,0,3.61433483973,3.82595839413,8.52901544944,2.19326854796,0.441529720057,0.16398392127,46551.4117647,5715.76470588,0.122783917591,11.8823529412,0.000255252257466
837,906,서울특별시 관악구 봉천동,False,4,86.0,67.0,36.0,261.0,False,55446925e4b031c596d10fc0,"[126.949896178, 37.4805805601]",6.0,True,5700.0,3,"[0, 1, 2, 3, 4, 6, 7, 8, 11]",23.1,원룸,1,1,1,1,1,0,1,1,1,0,0,1,0,9.56720022637,4.45421748732,5.5998320654,9.30396486892,0.206477665825,0.14354707587,48114.0,6002.81818182,0.124762401418,5.47368421053,0.000113764896091
838,907,서울특별시 노원구 상계동,False,10,109.0,102.0,103.0,238.0,True,53f5a3b0e4b055ac365a4d1b,"[127.066150944, 37.6564614007]",10.0,True,6000.0,5,"[0, 1, 3, 4, 6, 9, 11]",16.5,원룸,1,1,0,1,1,0,1,0,0,1,0,1,0,12.6130099449,12.7276882451,18.0854117643,13.6271845045,0.972065581749,0.307929880471,57678.2,7006.5,0.121475704859,6.7,0.000116161738751
839,908,서울특별시 구로구 오류동,False,14,98.0,124.0,60.0,226.0,True,5768f7f2b69d0169a72fd4b1,"[126.846251432, 37.4960821766]",7.0,True,5800.0,4,"[0, 1, 2, 3, 4, 5, 6, 7, 9, 10, 11]",23.1,원룸,1,1,1,1,1,1,1,1,0,1,1,1,0,14.1695608432,6.66197454082,14.2983644314,12.887985715,1.52742964698,0.122089029869,56690.75,6857.875,0.120969911317,9.0,0.000158756058087
840,909,서울특별시 강서구 화곡동,True,15,316.0,5.0,57.0,987.0,True,57f9e5a9a6233f52b76de33e,"[126.847501093, 37.5488392572]",9.0,True,14700.0,12,"[0, 1, 8, 11, 6]",52.8,투룸,1,1,0,0,0,0,1,0,1,0,0,1,0,11.9563828519,2.81565302747,15.167284773,10.5059306728,0.98713379696,0.745333150311,56970.4761905,6623.9047619,0.116269078386,7.57894736842,0.000133032894847
841,910,서울특별시 성북구 상월곡동,False,6,259.0,66.0,34.0,373.0,False,57e8ac6d1ac83c018d954c31,"[127.044611573, 37.6062865953]",14.0,True,8500.0,4,"[0, 1, 3, 4, 6, 7, 9, 11]",26.4,원룸,1,1,0,1,1,0,1,1,0,1,0,1,0,7.20863578747,8.84554921914,12.2040730815,8.45253324621,1.39091938336,0.617531520598,44489.7142857,6085.61904762,0.136787101138,8.11111111111,0.000182314299863
842,911,서울특별시 동대문구 휘경동,False,3,277.0,346.0,59.0,365.0,False,57ef2eefc490232fe9d0ce82,"[127.060247098, 37.5868542784]",14.0,False,7000.0,2,"[0, 1, 4, 6, 7, 8, 9, 11]",26.4,1.5룸,1,1,0,0,1,0,1,1,1,1,0,1,0,6.72583419355,6.46567360594,10.6507549909,8.7559925141,0.908613832823,0.56986581686,49628.5333333,7085.33333333,0.142767332771,9.85714285714,0.000198618459888
843,913,서울특별시 강서구 화곡동,False,8,52.0,45.0,217.0,101.0,True,576cc30da912b3587393ed42,"[126.841595729, 37.5415910603]",7.0,True,5600.0,5,"[0, 1, 6, 9, 7, 11]",20.8,원룸,1,1,0,0,0,0,1,1,0,1,0,1,0,12.6111568435,3.7404306786,15.3965056568,11.1675271654,0.540599774919,0.371549749767,56970.4761905,6623.9047619,0.116269078386,7.57894736842,0.000133032894847
844,914,서울특별시 성동구 행당동,False,4,157.0,68.0,70.0,130.0,False,5795d97ae097084536e88f83,"[127.039676308, 37.5597033962]",20.0,False,5700.0,3,"[0, 6, 1, 7, 8, 11]",19.8,원룸,1,1,0,0,0,0,1,1,1,0,0,1,0,3.46984722306,4.1391131996,7.15599837805,6.56165752126,0.339051418501,0.223763202091,33947.2222222,4304.33333333,0.126794861304,6.94117647059,0.000204469644825
845,915,서울특별시 동대문구 휘경동,False,4,248.0,314.0,188.0,257.0,False,56b07b01e3e49243881bfbd0,"[127.059793402, 37.5915000257]",10.0,False,7500.0,1,"[0, 1, 2, 3, 4, 7, 9, 11]",26.4,1.5룸,1,1,1,1,1,0,0,1,0,1,0,1,0,7.2152949635,6.98300155153,11.1027734726,8.88558572589,0.522080749558,0.333224912765,49628.5333333,7085.33333333,0.142767332771,9.85714285714,0.000198618459888
