loc,room_type,size,room_floor,building_floor,parking,elevator,heat_type,animal,aircondition,laundry,bed,desk,closet,tv,shoes,refrigerator,gas,induction,microwave,doar_lock,bidet,price
"[127.07606909937113, 37.620725972026165]",원룸,16.5,2,3,True,False,개별 난방,False,True,True,True,True,True,True,True,True,False,True,True,True,False,5400.0
"[127.04741773560973, 37.55959242133424]",원룸,19.5,-1,3,False,False,개별 난방,False,True,True,True,True,True,False,True,True,False,True,True,True,False,6500.0
"[127.07644951292819, 37.62054913263987]",원룸,19.799999999999997,4,5,True,True,개별 난방,False,True,True,False,True,True,False,True,True,False,True,False,False,False,5900.0
"[127.07825921984953, 37.62667105395629]",1.5룸,39.6,2,3,False,False,개별 난방,False,True,True,False,False,False,False,True,False,False,True,False,True,False,13500.0
"[127.0670249293, 37.5999582513]",투룸,33.0,1,2,False,False,개별 난방,False,False,False,False,False,False,False,False,False,False,False,False,False,False,7000
"[127.04298587530113, 37.56003380454463]",투룸,59.4,-1,3,False,False,개별 난방,False,True,True,True,True,True,False,True,True,True,False,False,True,False,8000
"[126.9147303698, 37.5795444142]",투룸,52.8,-1,4,True,False,개별 난방,False,False,False,False,False,False,False,False,False,False,False,False,False,False,5000
"[127.0638146643348, 37.601412427553726]",투룸,42.9,-1,2,False,False,개별 난방,False,True,False,True,False,False,False,False,True,True,False,False,False,False,3800
"[127.05883704711489, 37.59059591024179]",원룸,19.8,1,8,False,True,개별 난방,False,True,True,True,True,True,False,True,True,False,True,False,True,False,6500.0
"[127.07454790339139, 37.54470473423531]",원룸,18.1,4,5,False,False,개별 난방,False,True,True,False,True,True,False,True,True,False,True,False,True,False,6500.0
"[127.0660323564031, 37.54288257663149]",원룸,18.2,-1,3,False,False,개별 난방,False,False,True,False,False,True,False,True,True,True,False,False,False,False,3500
"[126.9255827078942, 37.581771802600095]",쓰리룸,66.0,5,5,True,True,개별 난방,False,False,False,False,False,True,False,False,False,True,False,False,False,False,22500.0
"[127.0508029544, 37.5912771877]",1.5룸,29.75,3,5,False,False,개별 난방,False,True,True,True,True,True,False,True,True,True,False,True,True,False,5000.0
"[127.05351275743362, 37.56159363295441]",쓰리룸,62.7,2,3,False,False,개별 난방,False,False,False,False,False,False,False,False,False,False,False,False,False,False,12000
"[127.0548661732, 37.598281479]",원룸,23.1,2,4,False,False,개별 난방,False,True,True,True,False,False,False,False,True,True,False,False,False,False,6000
"[127.06362587708264, 37.592489113117765]",투룸,24.8,-1,3,False,False,개별 난방,False,False,False,False,False,False,False,False,False,False,False,False,False,False,3500
"[126.94931579674, 37.5029000652973]",원룸,19.8,3,5,True,False,중앙 난방,False,True,True,False,True,True,False,True,True,False,True,True,True,False,4500.0
"[127.0619670379735, 37.596551665484]",1.5룸,33.0,1,4,False,False,개별 난방,False,True,True,True,True,True,False,True,True,True,False,False,False,False,5500
"[127.05875805345978, 37.599573428478095]",투룸,39.6,4,4,True,False,개별 난방,False,True,True,True,True,True,False,True,True,False,True,False,True,False,20500.0
"[127.05446182259247, 37.59038897989936]",원룸,19.8,6,6,False,True,개별 난방,False,True,True,True,True,True,False,False,True,False,True,False,True,False,6000.0
"[127.06167059775146, 37.59958275443574]",오피스텔,23.1,7,10,False,True,개별 난방,False,True,True,True,True,True,False,True,True,True,False,False,False,False,6750.0
"[127.07127187227411, 37.62650249191899]",원룸,23.1,2,3,False,False,개별 난방,False,True,True,False,False,False,False,True,True,False,False,False,True,False,4200
"[127.0624211723, 37.5979785961]",원룸,36.4,-1,3,False,False,개별 난방,True,True,True,False,False,True,False,True,False,True,False,False,True,False,3200
"[127.0549664405, 37.5991211558]",원룸,16.5,4,4,False,False,개별 난방,False,True,True,True,True,True,False,True,True,False,True,True,True,False,7000.0
"[127.00353199317003, 37.57629914321502]",원룸,23.1,2,4,False,False,개별 난방,False,True,True,True,False,False,False,True,True,False,True,False,True,False,5800.0
"[127.07824300657646, 37.61984879075411]",원룸,14.8,-1,3,False,False,개별 난방,False,True,True,True,True,True,False,True,True,False,True,False,True,False,4100.0
"[127.07567003807947, 37.62038745731071]",쓰리룸,72.6,3,4,True,False,개별 난방,False,False,False,False,False,False,False,True,False,False,False,False,True,False,15150.0
"[127.05899104084426, 37.59060304131675]",원룸,16.5,2,8,False,True,개별 난방,False,True,True,False,True,True,False,True,True,True,True,False,True,False,6100.0
"[127.0654129048, 37.5953821213]",투룸,33.0,1,2,False,False,개별 난방,False,False,False,False,False,False,False,False,False,False,False,False,False,False,5000
"[126.94923947843257, 37.50203506709796]",원룸,26.4,5,7,False,True,개별 난방,False,True,True,True,True,True,True,True,True,False,True,False,True,False,4500.0
"[127.07332926222911, 37.6174877546145]",투룸,36.3,4,4,True,False,개별 난방,True,False,False,False,False,False,False,False,False,False,False,False,True,False,13300.0
"[127.04290599547794, 37.56284133920317]",투룸,49.5,6,6,True,True,개별 난방,False,True,True,False,True,True,False,True,True,False,True,True,True,False,13700.0
"[126.91488124390155, 37.58623710045396]",투룸,23.1,5,5,True,True,개별 난방,False,False,False,False,False,False,False,False,False,False,True,False,True,False,17000
"[127.0699291643, 37.5426388654]",원룸,19.8,2,3,False,False,개별 난방,False,True,True,False,False,False,False,False,True,False,True,False,False,False,5500
"[126.91004170223376, 37.5810257716166]",투룸,46.2,-1,2,False,False,개별 난방,False,False,False,False,False,False,False,True,False,False,False,False,False,False,5000
"[126.92262404886934, 37.58325113329692]",원룸,16.5,2,4,False,False,개별 난방,False,True,True,True,True,True,False,True,True,False,True,True,True,False,5000.0
"[126.95162226692776, 37.503902950525216]",원룸,19.8,3,7,True,True,개별 난방,False,True,True,True,True,True,False,True,True,False,True,True,True,False,6600.0
"[127.06998250465931, 37.54159727841048]",원룸,19.8,1,3,False,False,개별 난방,False,True,True,False,False,False,False,False,True,True,False,False,False,False,5050
"[127.0489080916, 37.5679134151]",원룸,36.3,3,3,False,False,개별 난방,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2700
"[126.99472608750594, 37.5559293603985]",투룸,26.4,2,3,False,False,개별 난방,False,False,True,True,True,False,False,True,True,True,False,True,False,False,8500
"[127.0012766987143, 37.56149763364056]",원룸,23.14,5,5,False,True,개별 난방,True,False,False,False,False,True,False,True,False,False,True,False,True,False,9000
"[127.0704809516, 37.547017393]",원룸,19.8,3,3,False,False,개별 난방,False,True,True,False,False,False,False,False,True,True,False,False,True,False,8800.0
"[127.0840694787965, 37.539137370585806]",원룸,23.1,4,7,True,True,개별 난방,False,True,True,False,False,False,False,True,True,False,True,False,True,False,15600.0
"[127.06836033867275, 37.54455711055121]",투룸,49.5,1,4,False,False,개별 난방,False,True,True,False,False,False,False,False,False,True,False,False,True,False,9200.0
"[127.0550263455, 37.5635895453]",투룸,39.6,1,2,False,False,개별 난방,False,False,False,False,False,False,False,False,False,False,False,False,False,False,16000
"[127.08394716519686, 37.53903654561027]",1.5룸,33.0,2,4,False,False,개별 난방,False,True,False,False,False,False,False,False,False,False,False,False,False,False,14200.0
"[126.91824123438846, 37.58244088910717]",원룸,19.8,2,5,True,True,개별 난방,True,True,True,True,True,True,False,True,True,False,True,False,True,False,5500.0
"[126.9557649942, 37.5057534374]",원룸,19.8,3,5,False,False,개별 난방,False,True,True,False,True,True,False,True,True,False,True,True,True,False,5000.0
"[127.0644553127644, 37.593180624777936]",투룸,24.8,-1,2,False,False,개별 난방,False,False,False,False,False,False,False,False,False,False,False,False,False,False,3500
"[127.0843813303, 37.5387479162]",투룸,39.6,1,4,True,False,개별 난방,False,True,True,False,False,False,False,True,False,False,False,False,False,False,8200.0
"[126.91839744858005, 37.584534905207995]",투룸,29.7,5,6,True,True,개별 난방,False,False,False,False,False,False,False,False,False,True,False,False,True,False,17500
"[127.08539465475965, 37.542293522479234]",1.5룸,46.2,4,5,True,False,개별 난방,False,True,True,False,False,True,False,True,True,True,False,True,False,False,9500.0
"[127.0581461502, 37.5990511569]",투룸,33.0,2,3,False,False,개별 난방,False,False,True,False,False,False,False,False,True,True,False,False,False,False,6300.0
"[127.0533127754, 37.5604981115]",1.5룸,26.4,1,2,False,False,개별 난방,False,False,False,False,False,False,False,False,False,False,False,False,False,False,6000
"[127.05742626493986, 37.593569878392586]",1.5룸,33.0,3,4,False,True,개별 난방,False,True,True,True,True,True,False,True,True,True,True,False,True,False,8800.0
"[127.07567003807947, 37.62038745731071]",원룸,18.1,2,4,False,False,개별 난방,False,True,True,False,False,True,False,True,True,True,False,False,False,False,3700.0
"[127.08349563241661, 37.5399883215543]",오피스텔,19.8,3,10,True,True,개별 난방,True,True,True,False,False,True,False,True,True,True,False,False,False,False,6050.0
"[127.05883704711489, 37.59059591024179]",원룸,16.5,6,8,False,True,개별 난방,False,True,True,True,True,True,False,True,True,False,True,False,True,False,8000.0
"[127.0550025112, 37.5927421203]",원룸,9.9,1,3,False,False,개별 난방,False,True,True,True,True,True,False,True,True,False,True,False,True,False,4800.0
"[127.03679957649352, 37.56491208795229]",오피스텔,24.8,9,12,True,True,개별 난방,True,True,True,False,False,True,False,True,True,True,False,False,False,False,8000.0
"[126.90629180928264, 37.57766034597332]",쓰리룸,52.8,3,3,True,False,개별 난방,False,False,False,False,False,False,False,False,False,False,False,False,False,False,7000
"[127.0885943754, 37.5420749254]",투룸,49.5,4,5,True,True,개별 난방,False,True,False,False,False,False,False,True,False,True,False,False,True,False,25500.0
"[127.0728067538076, 37.54621589490432]",원룸,19.8,1,8,False,True,개별 난방,False,True,True,False,True,True,False,True,True,False,True,False,True,False,8500.0
"[126.9233132703, 37.5779861766]",쓰리룸,62.7,3,3,False,False,개별 난방,False,False,False,False,False,False,False,True,False,False,False,False,True,False,8000
"[127.01062950326255, 37.557287703894765]",원룸,19.8,2,5,False,False,개별 난방,False,True,True,False,False,True,False,True,True,False,True,True,True,False,7000.0
"[126.92285577051564, 37.582512470507446]",원룸,19.8,2,3,False,False,개별 난방,False,False,False,False,False,False,False,False,False,False,False,False,False,False,5300.0
"[127.0871219897, 37.5408758895]",투룸,42.9,3,5,True,False,개별 난방,False,False,False,False,False,False,False,False,False,True,False,False,False,False,15400.0
"[126.9495017708458, 37.50215771629051]",오피스텔,21.8,1,5,True,False,개별 난방,True,True,True,False,True,True,True,True,True,False,True,True,True,False,4600.0
"[126.95236146983684, 37.50103805292172]",원룸,19.8,2,5,False,False,개별 난방,False,True,True,False,True,True,False,False,True,False,True,False,True,False,7100.0
"[127.05571301456445, 37.59803961665871]",원룸,19.8,3,4,False,False,개별 난방,False,True,True,True,True,True,False,False,False,False,True,False,True,False,5500.0
"[126.9539158319, 37.5112812956]",투룸,39.9,4,5,True,True,개별 난방,False,True,True,False,False,False,False,True,False,True,False,False,True,False,23000.0
"[127.05678195459652, 37.598006671561215]",원룸,16.5,4,5,False,False,개별 난방,False,True,True,True,True,True,False,True,True,False,True,True,False,False,6500.0
"[127.067301949, 37.5454010537]",원룸,23.1,1,3,False,False,개별 난방,False,True,True,False,False,False,False,False,True,True,False,False,False,False,3800
