,Unnamed: 0,id,loc,room_type,size,room_floor,building_floor,parking,elevator,heat_type,animal,aircondition,laundry,bed,desk,closet,tv,shoes,refrigerator,gas,induction,microwave,doar_lock,bidet,price,distance_park,distance_md,distance_gn
992,992,56cadb58215a5d5fd07a8541,"[127.06631320248488, 37.54313469908124]",1.5룸,19.8,3,6,False,False,개별 난방,False,True,True,False,False,False,False,True,True,True,False,False,True,False,6500.0,1.33118152022,11.6617463921,7.69451120756
993,993,57ef77d0b757605010569a7b,"[127.0874577550245, 37.54159283695733]",투룸,36.3,-1,3,False,False,개별 난방,False,False,False,False,False,False,False,False,False,False,False,False,False,False,5500.0,2.27733472803,14.0660295803,9.78656731937
994,994,5754e150d9277109f3649186,"[127.07217623985142, 37.544817931565575]",원룸,23.1,-1,3,False,False,개별 난방,False,True,True,False,False,False,False,False,True,True,False,False,True,False,5100.0,1.48639262685,12.2995093753,8.35050258368
995,995,57cfc15f60c9e54b22455876,"[127.07112677449156, 37.545485307654154]",원룸,39.6,-1,3,False,False,개별 난방,False,True,True,False,False,False,False,False,True,False,True,False,False,False,6000.0,1.52401898039,12.1725758889,8.27712446401
996,996,57bfb402829f1b57b4dac4e4,"[127.0723086648593, 37.546021585203896]",원룸,33.0,3,3,False,False,개별 난방,False,True,True,False,False,True,False,True,True,True,False,False,False,False,6500.0,1.59765180996,12.2995707331,8.4184488699
997,997,573ac4b46299b45f32949e2e,"[127.07272901417294, 37.5454014397773]",원룸,33.0,-1,4,False,False,개별 난방,False,True,True,False,False,False,False,True,True,True,False,False,True,False,5100.0,1.55397943259,12.3546049856,8.43176443508
998,998,56b1b5564c5d583628dfb417,"[127.06869374281631, 37.54781132507458]",오피스텔,19.8,2,18,True,False,개별 난방,False,True,True,False,False,True,False,True,True,False,True,False,True,True,7850.0,1.72217614179,11.8700646219,8.15123212289
999,999,574fc5f906e5360abd0c9431,"[127.08911961121173, 37.542247522048115]",투룸,49.5,3,5,True,False,개별 난방,False,False,False,False,False,False,False,False,False,False,False,False,False,False,10200.0,2.39667922136,14.2452136558,9.98455856223
1000,1000,56d6cad180d7644d1b1720fc,"[127.0671100762432, 37.54342977667916]",원룸,19.8,-1,3,False,False,개별 난방,False,True,True,False,False,False,False,True,True,True,False,False,True,False,4600.0,1.33874749122,11.7471522448,7.7864724299
1001,1001,57e3408dbb2ef26e624eb2fc,"[127.0849280869, 37.5419622912]",원룸,29.7,3,5,True,True,개별 난방,False,True,True,False,False,False,False,False,True,False,True,False,False,False,6800.0,2.15239446905,13.7757501808,9.53507800707
1002,1002,57e33aab4623b340fd548c85,"[127.0828902702, 37.5410014717]",투룸,46.2,2,6,False,False,개별 난방,False,False,False,False,False,False,False,False,False,False,False,False,False,False,8800.0,1.9105018226,13.559030121,9.28683864292
1003,1003,57ef2750607a961c8917e232,"[127.08227542326506, 37.53751683412257]",오피스텔,23.9,9,24,True,True,중앙 난방,False,True,True,False,False,True,False,True,False,False,True,False,True,False,8800.0,1.68411032441,13.5424472061,9.09728001713
1004,1004,57e5f6be9ac4b016f12a5793,"[127.08227542326506, 37.53751683412257]",오피스텔,26.4,6,16,True,True,중앙 난방,False,True,True,False,False,True,False,True,True,False,True,False,True,False,11400.0,1.68411032441,13.5424472061,9.09728001713
1005,1005,57b6c88252dc173624c2c291,"[127.06882142874849, 37.543915331296354]",원룸,21.4,3,3,False,False,개별 난방,False,True,True,False,False,False,False,False,True,True,False,False,True,False,6200.0,1.36347173152,11.9330891105,7.97732691798
