loc,room_type,size,room_floor,building_floor,parking,elevator,heat_type,animal,aircondition,laundry,bed,desk,closet,tv,shoes,refrigerator,gas,induction,microwave,doar_lock,bidet,price
"[127.00515145698746, 37.55262450578829]",원룸,16.5,2,4,False,False,개별 난방,True,True,True,False,False,False,False,False,True,True,False,False,False,False,5700.0
"[127.0200084484, 37.5701274873]",투룸,42.9,3,10,True,True,개별 난방,True,False,True,False,False,False,False,True,False,True,False,False,True,False,21700.0
"[127.00632049224004, 37.56600605721663]",오피스텔,46.2,15,15,True,True,개별 난방,True,True,True,False,False,True,False,True,True,True,False,False,True,False,17400.0
"[127.0074690405, 37.5514278564]",투룸,39.6,4,5,True,True,개별 난방,False,True,True,False,False,True,False,True,True,True,False,False,True,False,16700.0
"[127.0099463084, 37.5602142021]",1.5룸,29.0,1,4,True,False,개별 난방,False,True,False,False,False,False,False,True,False,True,False,False,False,False,6400.0
"[127.02013462016085, 37.5678713729317]",원룸,19.8,2,2,False,False,개별 난방,False,True,True,False,False,False,False,True,False,False,True,False,False,False,2500
"[126.98076935479594, 37.5563351629971]",원룸,21.5,2,5,False,False,개별 난방,False,True,True,False,False,True,False,True,True,False,True,False,True,False,8600.0
"[127.01129062973908, 37.55846614695276]",투룸,39.6,3,4,True,False,개별 난방,False,False,True,False,False,False,False,True,False,True,False,False,True,False,21300.0
"[127.00181105599908, 37.56710903154925]",오피스텔,19.8,7,15,True,True,개별 난방,True,True,True,False,False,True,False,True,True,True,False,False,True,False,7300.0
"[127.01884934587882, 37.57020696560901]",원룸,16.5,3,10,False,True,개별 난방,False,True,True,False,False,True,False,True,True,False,True,True,False,False,6600.0
"[127.00191517833969, 37.566586452283495]",오피스텔,29.7,7,12,True,True,개별 난방,True,True,True,False,False,True,False,True,True,True,False,False,True,False,9500.0
"[127.00127669871426, 37.561497633640556]",원룸,42.9,4,5,False,True,개별 난방,False,True,False,False,False,False,False,True,False,True,False,False,False,False,11000.0
"[127.01969339386555, 37.56011927498737]",쓰리룸,82.5,2,4,False,False,개별 난방,False,False,False,False,False,False,False,True,False,False,False,False,False,False,32200.0
