,id,loc,room_type,size,room_floor,building_floor,parking,elevator,heat_type,animal,aircondition,laundry,bed,desk,closet,tv,shoes,refrigerator,gas,induction,microwave,doar_lock,bidet,price
117,57ecb3cad7ba842f1f303c2e,"[126.95346174747598, 37.477504170681755]",원룸,16.5,3,6,False,True,개별 난방,False,True,True,False,True,True,False,True,True,False,True,False,True,False,6600.0
118,57e8d1bf7b682b5c76a7d695,"[126.93754096543624, 37.475121766089984]",원룸,23.1,1,5,False,True,개별 난방,False,False,False,False,False,False,False,False,False,False,False,False,False,False,7500.0
119,57cbe4d55f03d92b6a3c281b,"[126.93898202414752, 37.47694976662394]",원룸,19.8,2,4,False,True,개별 난방,False,True,True,False,True,True,False,True,True,False,True,False,True,False,4500.0
120,575f98704ce43850eb130d92,"[126.94007743357407, 37.47564926933543]",투룸,36.3,1,4,False,False,개별 난방,True,False,False,False,False,False,False,False,False,False,False,False,False,False,5000.0
121,57b80eabfc04c7312a55b231,"[126.94586666966708, 37.48063284318228]",원룸,33.0,3,9,True,True,개별 난방,True,True,True,False,True,True,False,True,True,False,True,False,True,False,5820.0
122,57e89cb15b84f91915774a58,"[126.94129946994842, 37.47428755589033]",1.5룸,26.4,-1,3,False,False,개별 난방,False,True,True,False,False,False,False,False,True,False,True,False,True,False,7500.0
123,57e244fef592957234cfb926,"[126.93468095586759, 37.472283840226446]",원룸,19.8,2,5,False,True,개별 난방,False,True,True,True,True,True,True,True,True,False,True,False,True,False,3970.0
124,57e66c31b82ade1d453806f6,"[126.95398025652044, 37.48002719979686]",1.5룸,33.0,3,6,True,True,개별 난방,False,True,True,False,True,True,False,True,True,False,True,True,True,False,4700.0
125,57e9c98c06a891048c9e9073,"[126.93546306676387, 37.472493304344816]",원룸,19.8,2,4,False,False,중앙 난방,False,True,True,True,True,True,False,True,True,False,True,True,True,False,4000.0
126,56d68f4ccec6604c98b14bf8,"[126.95391319331866, 37.47876936481534]",원룸,16.5,3,5,False,False,개별 난방,False,True,True,False,True,True,False,True,True,False,True,False,False,False,6700.0
127,57ce272aded6c75a75a25304,"[126.9370346464244, 37.47493769136697]",원룸,16.5,2,5,False,False,개별 난방,False,True,True,False,True,True,False,True,True,False,True,True,True,False,3790.0
128,57e9daf1d3f61f72ebe81097,"[126.95417541208532, 37.47889200406597]",원룸,16.5,2,4,False,False,개별 난방,False,True,True,False,True,False,False,False,True,False,True,False,True,False,4300.0
129,56df96a452d2f0422228e5ad,"[126.93812229349265, 37.477572818072055]",원룸,23.1,5,8,True,True,개별 난방,True,True,True,True,True,True,False,True,True,True,False,False,True,False,6000.0
130,57bfb2255dd42d38a6976dd0,"[126.940580820606, 37.473840295748666]",원룸,19.8,4,6,True,False,개별 난방,False,True,True,True,True,True,False,True,True,False,True,False,True,False,4000.0
131,57f087b5c7f21002eb89e1ce,"[126.94907902738993, 37.47850788967715]",원룸,16.5,1,4,False,False,개별 난방,False,True,True,False,True,True,False,True,True,False,True,True,True,False,5200.0
132,57ea2b0a1f1a8a3410117575,"[126.964761, 37.473556]",원룸,19.8,1,6,True,False,개별 난방,False,True,True,True,True,True,False,True,True,False,True,False,True,False,4600.0
133,558144d8e4b0dffd6a0b514f,"[126.95317840761629, 37.475002855878984]",오피스텔,33.0,5,15,True,True,개별 난방,False,True,True,False,True,True,False,True,True,False,True,False,True,False,13700.0
134,57edcb10b3deb112596c2821,"[126.9623395816, 37.4761089669]",원룸,23.1,3,5,True,True,개별 난방,False,True,True,False,True,True,False,True,True,False,True,True,True,False,4200.0
135,5784c1f7758d2e5bf8203b88,"[126.94791121911226, 37.480031888186595]",원룸,23.1,7,8,True,True,개별 난방,False,True,True,False,True,True,False,True,True,False,True,False,False,False,5500.0
136,57b6e129b82b6a3f7cceed45,"[126.93942245133047, 37.47475152961049]",원룸,18.2,4,5,True,False,개별 난방,False,True,True,True,True,True,True,False,True,False,True,True,True,False,4700.0
137,5789bfd582196c75fead1c31,"[126.96173443390713, 37.47450137091586]",원룸,33.0,1,6,False,True,개별 난방,False,True,True,False,False,True,False,True,True,False,True,False,True,False,7800.0
