week1_pop,comp_score,rank1,rank2,rank3,rank4,cat1,cat2,cat3,cat4,cat5,cat6,cat7,cat8,cat9,cat10,cat11,director_score,act_score,pre_score,viewer_num,like_see,screen1
2922,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,19,9.08,12,277,35
3347,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,8.15,21,194,32
2560,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,9.79,14,153,16
2556,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,7.9,10,65,20
3060,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,9.09,32,153,35
2369,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,9.55,20,286,28
2369,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5.58,79,589,22
3653,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,9.11,160,1975,33
2575,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.57,190,650,17
946,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,8.73,22,275,5
3201,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,9.21,91,1407,38
3565,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,65,9.33,3,100,21
2338,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,7.73,48,305,20
1992,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,9.62,16,200,26
152000,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,9.35,55,390,14
1850,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,8.58,26,139,12
77044,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.43,512,708,215
2179,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,8.33,33,252,26
1588,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,7.88,8,81,6
1650,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,8.71,7,66,21
1993,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,8.9,42,476,19
2538,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,9.63,67,606,45
1564,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,7.42,19,202,13
1979,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,9.14,21,183,21
2022,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,5.05,100,938,18
2621,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.94,162,1261,42
1750,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,8.51,35,791,19
1998,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,9.75,24,100,17
2547,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.37,35,487,20
1146,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,8.64,11,59,9
2019,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,18,6.2,15,133,21
2019,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,8.61,23,182,18
1590,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,9.67,55,773,13
1467,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,9.08,12,98,26
2167,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,8.89,19,112,20
1868,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,9.75,786,3469,16
1994,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,8.94,35,152,18
